Parent Airline,Airline,Aircraft Type,Total,Unit Cost,Total Cost (Current)
Aegean Airlines,Aegean Airlines,Airbus A319,4,90,90
Aegean Airlines,Olympic Air,Airbus A319,8,90,0
Aegean Airlines,Aegean Airlines,Airbus A320,41,98,3724
Aegean Airlines,Olympic Air,Airbus A320,9,98,0
Aegean Airlines,Aegean Airlines,Airbus A321,8,115,919
Aegean Airlines,Olympic Air,ATR 42/72,2,22,44
Aegean Airlines,Aegean Airlines,ATR 42/72,6,22,0
Aegean Airlines,Aegean Airlines,Boeing 737,17,74,0
Aegean Airlines,Aegean Airlines,British Aerospace BAe 146/Avro RJ,6,14,0
Aegean Airlines,Olympic Air,De Havilland Canada DHC-8 Dash 8,19,31,376
Aeroflot,Aeroflot,Airbus A310,14,75,0
Aeroflot,Rossiya Airlines,Airbus A319,31,90,233
Aeroflot,Aeroflot,Airbus A319,15,90,0
Aeroflot,Aurora Airlines,Airbus A319,10,90,896
Aeroflot,Aeroflot,Airbus A320,75,98,6958
Aeroflot,Rossiya Airlines,Airbus A320,13,98,490
Aeroflot,Aeroflot,Airbus A321,39,115,3562
Aeroflot,Aeroflot,Airbus A330,22,240,528
Aeroflot,Aeroflot,Antonov An-124,3,75,0
Aeroflot,Rossiya Airlines,Antonov An-124,2,75,0
Aeroflot,Rossiya Airlines,Antonov An-148/An-158,6,28,0
Aeroflot,Aeroflot,Boeing 737,37,74,148
Aeroflot,Pobeda,Boeing 737,12,74,888
Aeroflot,Rossiya Airlines,Boeing 737,23,74,1258
Aeroflot,Aurora Airlines,Boeing 737,5,74,0
Aeroflot,Rossiya Airlines,Boeing 747,9,316,2211
Aeroflot,Aeroflot,Boeing 767,13,187,0
Aeroflot,Rossiya Airlines,Boeing 767,3,187,0
Aeroflot,Aeroflot,Boeing 777,17,295,4418
Aeroflot,Rossiya Airlines,Boeing 777,12,295,1767
Aeroflot,Aeroflot,Boeing 787,7,265,0
Aeroflot,Aurora Airlines,De Havilland Canada DHC-8 Dash 8,12,31,250
Aeroflot,Rossiya Airlines,Ilyushin Il-62,1,45,0
Aeroflot,Aeroflot,Ilyushin Il-96,10,45,0
Aeroflot,Rossiya Airlines,Ilyushin Il-96,5,45,0
Aeroflot,Aeroflot,Irkut MC-21,2,82,0
Aeroflot,Aeroflot,McDonnell Douglas DC-10,3,145,0
Aeroflot,Aeroflot,McDonnell Douglas MD-11,2,175,0
Aeroflot,Rossiya Airlines,Sukhoi Superjet 100,5,28,0
Aeroflot,Aeroflot,Sukhoi Superjet 100,40,28,825
Aeroflot,Aeroflot,Tupolev Tu-134,1,16,0
Aeroflot,Rossiya Airlines,Tupolev Tu-154,1,16,0
Aeroflot,Aeroflot,Tupolev Tu-204,3,16,0
Aeroflot,Rossiya Airlines,Tupolev Tu-204,2,16,0
Aeroflot,Rossiya Airlines,Tupolev Tu-214,3,16,0
Aeroflot,Aurora Airlines,Viking Air DHC 6-400 Twin Otter,2,7,13
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A310,5,75,0
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A320,2,98,0
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A330,10,240,216
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A340,13,216,1078
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 737,118,74,2959
Aerolineas Argentinas,Austral Líneas Aéreas,Boeing 737,8,74,0
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 747,17,316,0
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 757,1,73,0
Aerolineas Argentinas,Austral Líneas Aéreas,Embraer ERJ-190,27,46,1201
Aerolineas Argentinas,Austral Líneas Aéreas,McDonnell Douglas DC-9,14,45,0
Aerolineas Argentinas,Aerolineas Argentinas,McDonnell Douglas MD-80,7,45,0
Aerolineas Argentinas,Austral Líneas Aéreas,McDonnell Douglas MD-80,28,45,0
Air Algerie,Air Algerie,Airbus A300,2,75,0
Air Algerie,Air Algerie,Airbus A310,6,75,0
Air Algerie,Air Algerie,Airbus A320,4,98,0
Air Algerie,Air Algerie,Airbus A330,12,240,192
Air Algerie,Air Algerie,Airbus A340,3,216,0
Air Algerie,Air Algerie,ATR 42/72,15,22,332
Air Algerie,Air Algerie,Boeing 737,70,74,2293
Air Algerie,Air Algerie,Boeing 747,14,316,0
Air Algerie,Air Algerie,Boeing 767,9,187,374
Air Algerie,Air Algerie,Boeing 777,2,295,0
Air Algerie,Air Algerie,Boeing 787,2,265,0
Air Algerie,Air Algerie,McDonnell Douglas DC-10,2,145,0
Air Algerie,Air Algerie,McDonnell Douglas DC-8,24,6,0
Air Arabia,Air Arabia,Airbus A320,66,98,3724
Air Arabia,Air Arabia Egypt,Airbus A320,3,98,98
Air Arabia,Air Arabia Jordan,Airbus A320,3,98,196
Air Arabia,Air Arabia Maroc,Airbus A320,10,98,490
Air Astana,Air Astana,Airbus A319,1,90,90
Air Astana,Air Astana,Airbus A320,15,98,882
Air Astana,Air Astana,Airbus A321,4,115,460
Air Astana,Air Astana,Boeing 737,4,74,0
Air Astana,Air Astana,Boeing 757,5,73,363
Air Astana,Air Astana,Boeing 767,5,187,561
Air Astana,Air Astana,Boeing 787,5,265,0
Air Astana,Air Astana,Embraer ERJ-190,9,46,416
Air Astana,Air Astana,Fokker F50 / F60,6,18,0
Air Berlin,Air Berlin,Airbus A319,21,90,538
Air Berlin,Air Berlin,Airbus A320,111,98,5292
Air Berlin,Air Berlin,Airbus A321,23,115,2413
Air Berlin,Air Berlin,Airbus A330,20,240,36
Air Berlin,Air Berlin,ATR 42/72,1,22,0
Air Berlin,Air Berlin,Boeing 737,155,74,1036
Air Berlin,Air Berlin,Boeing 757,4,73,0
Air Berlin,Air Berlin,British Aerospace BAe 146/Avro RJ,4,14,0
Air Berlin,Air Berlin,De Havilland Canada DHC-8 Dash 8,20,31,626
Air Berlin,Air Berlin,Embraer ERJ-190,3,46,0
Air Berlin,Air Berlin,Fokker F70 / F100,18,20,0
Air Berlin,Air Berlin,McDonnell Douglas MD-80,1,45,0
Air Canada,Air Canada,Airbus A319,48,90,1344
Air Canada,Air Canada Jetz,Airbus A319,5,90,269
Air Canada,Air Canada Rouge,Airbus A319,20,90,1792
Air Canada,Air Canada,Airbus A320,55,98,4116
Air Canada,Air Canada Jetz,Airbus A320,5,132,0
Air Canada,Air Canada,Airbus A321,18,115,1724
Air Canada,Air Canada Rouge,Airbus A321,5,115,575
Air Canada,Air Canada,Airbus A330,8,240,192
Air Canada,Air Canada,Airbus A340,15,216,0
Air Canada,Air Canada,Boeing 727,28,4,0
Air Canada,Air Canada,Boeing 737,44,74,0
Air Canada,Air Canada Jetz,Boeing 737,2,74,0
Air Canada,Air Canada,Boeing 747,15,316,0
Air Canada,Air Canada,Boeing 767,63,187,2804
Air Canada,Air Canada Rouge,Boeing 767,19,187,3551
Air Canada,Air Canada,Boeing 777,25,295,7364
Air Canada,Air Canada,Boeing 787 Dreamliner,24,265,5567
Air Canada,Air Canada,Bombardier CS300,2,72,0
Air Canada,Air Canada,Canadair CRJ-100 Series,26,32,0
Air Canada,Air Canada Regional,Canadair CRJ-100 Series,1,32,32
Air Canada,Air Canada,Embraer ERJ-170,15,39,0
Air Canada,Air Canada,Embraer ERJ-190,45,46,1155
Air Canada,Air Canada,McDonnell Douglas DC-8,43,6,0
Air Canada,Air Canada,McDonnell Douglas DC-9,64,45,0
Air China,Air Macau (66.9%),Airbus A300,8,75,0
Air China,Air China,Airbus A319,36,90,2957
Air China,Shenzhen Airlines,Airbus A319,5,90,448
Air China,Air Macau (66.9%),Airbus A319,5,90,358
Air China,Air China,Airbus A320,50,98,4214
Air China,Shenzhen Airlines,Airbus A320,81,98,7742
Air China,Air Macau (66.9%),Airbus A320,7,98,294
Air China,Air China,Airbus A321,58,115,632
Air China,Air Macau (66.9%),Airbus A321,15,115,1149
Air China,Air China,Airbus A330,55,240,1296
Air China,Shenzhen Airlines,Airbus A330,2,240,0
Air China,Air China,Airbus A340,6,216,0
Air China,Air China,Airbus A350 XWB,1,312,0
Air China,Air China,Boeing 737,220,74,10653
Air China,Shenzhen Airlines,Boeing 737,109,74,6436
Air China,Shandong Airlines (51%),Boeing 737,115,74,725
Air China,Air China Inner Mongolia,Boeing 737,3,74,222
Air China,Kunming Airlines (80%),Boeing 737,20,74,1332
Air China,Dalian Airlines (80%),Boeing 737,9,74,666
Air China,Air China,Boeing 747,28,316,3158
Air China,Air China Cargo,Boeing 747,15,316,947
Air China,Air China,Boeing 757,13,73,0
Air China,Air Macau (66.9%),Boeing 757,1,73,0
Air China,Air China Cargo,Boeing 757,4,73,290
Air China,Air China,Boeing 767,15,187,0
Air China,Air China,Boeing 777,33,295,8542
Air China,Air China Cargo,Boeing 777,8,295,2356
Air China,Air China,Boeing 787 Dreamliner,8,265,1856
Air China,Air China,British Aerospace BAe 146/Avro RJ,4,14,0
Air China,Shandong Airlines (51%),Canadair CRJ-100 Series,12,32,0
Air China,Shandong Airlines (51%),Canadair CRJ-700,2,41,82
Air China,Shandong Airlines (51%),Comac ARJ21,2,30,0
Air China,Air China,COMAC C919,2,68,0
Air China,Shandong Airlines (51%),Saab 340,1,8,0
Air China,Air China Cargo,Tupolev Tu-204,1,16,0
Air Europa,Air Europa,Airbus A330,17,240,36
Air Europa,Air Europa,Airbus A340,1,216,0
Air Europa,Air Europa,ATR 42/72,10,22,88
Air Europa,Air Europa,Boeing 737,88,74,1554
Air Europa,Air Europa,Boeing 757,16,73,0
Air Europa,Air Europa,Boeing 767,7,187,0
Air Europa,Air Europa,Boeing 787 Dreamliner,8,265,795
Air Europa,Air Europa,Embraer ERJ-145,1,20,20
Air Europa,Air Europa,Embraer ERJ-190,11,46,323
Air Europa,Air Europa,McDonnell Douglas MD-80,1,45,0
Air France/KLM,Air France,Aérospatiale/BAC Concorde,7,29,0
Air France/KLM,Air France,Airbus A300,25,75,0
Air France/KLM,Transavia,Airbus A300,1,75,0
Air France/KLM,Air France,Airbus A310,11,75,0
Air France/KLM,KLM,Airbus A310,11,75,0
Air France/KLM,Transavia,Airbus A310,1,75,0
Air France/KLM,Martinair,Airbus A310,2,75,0
Air France/KLM,Air France,Airbus A318,18,66,1193
Air France/KLM,Air France,Airbus A319,49,90,3405
Air France/KLM,Air France,Airbus A320,106,98,4214
Air France/KLM,Transavia France,Airbus A320,4,98,0
Air France/KLM,Martinair,Airbus A320,7,98,0
Air France/KLM,Air France,Airbus A321,30,115,2298
Air France/KLM,Air France,Airbus A330,16,240,36
Air France/KLM,KLM,Airbus A330,17,240,312
Air France/KLM,Air France,Airbus A340,30,216,2371
Air France/KLM,KLM,Airbus A350,2,312,0
Air France/KLM,Air France,Airbus A350-900,2,308,0
Air France/KLM,Air France,Airbus A380,10,433,4326
Air France/KLM,HOP!,ATR 42/72,29,22,464
Air France/KLM,Air France,Boeing 727,5,4,0
Air France/KLM,Air France,Boeing 737,63,74,0
Air France/KLM,KLM,Boeing 737,92,74,3551
Air France/KLM,Transavia France,Boeing 737,26,74,1923
Air France/KLM,Transavia,Boeing 737,113,74,2737
Air France/KLM,Martinair,Boeing 737,3,74,0
Air France/KLM,Air France,Boeing 747,73,316,0
Air France/KLM,KLM,Boeing 747,46,316,6316
Air France/KLM,Martinair,Boeing 747,9,316,316
Air France/KLM,Transavia,Boeing 757,10,73,0
Air France/KLM,Martinair,Boeing 757,2,73,0
Air France/KLM,Air France,Boeing 767,9,187,0
Air France/KLM,KLM,Boeing 767,12,187,0
Air France/KLM,Martinair,Boeing 767,8,187,0
Air France/KLM,Air France,Boeing 777,71,295,20619
Air France/KLM,KLM,Boeing 777,29,295,7953
Air France/KLM,Air France,Boeing 787 Dreamliner,1,265,265
Air France/KLM,KLM,Boeing 787 Dreamliner,11,265,2121
Air France/KLM,Air France,British Aerospace BAe 146/Avro RJ,3,14,0
Air France/KLM,Transavia,British Aerospace BAe 146/Avro RJ,1,14,0
Air France/KLM,HOP!,Canadair CRJ-100 Series,8,32,0
Air France/KLM,HOP!,Canadair CRJ-1000,14,49,686
Air France/KLM,HOP!,Canadair CRJ-700,15,41,492
Air France/KLM,HOP!,Embraer ERJ-145,22,20,314
Air France/KLM,HOP!,Embraer ERJ-170,16,39,581
Air France/KLM,KLM Cityhopper,Embraer ERJ-170,4,39,155
Air France/KLM,HOP!,Embraer ERJ-190,10,46,462
Air France/KLM,KLM Cityhopper,Embraer ERJ-190,30,46,1386
Air France/KLM,KLM Cityhopper,Fokker F50 / F60,23,18,0
Air France/KLM,Air France,Fokker F70 / F100,5,20,0
Air France/KLM,KLM,Fokker F70 / F100,6,20,0
Air France/KLM,KLM Cityhopper,Fokker F70 / F100,48,20,260
Air France/KLM,Air France,McDonnell Douglas DC-10,5,145,0
Air France/KLM,KLM,McDonnell Douglas DC-10,12,145,0
Air France/KLM,Martinair,McDonnell Douglas DC-10,5,145,0
Air France/KLM,Air France,McDonnell Douglas DC-8,1,6,0
Air France/KLM,KLM,McDonnell Douglas DC-8,37,6,0
Air France/KLM,Martinair,McDonnell Douglas DC-8,6,6,0
Air France/KLM,KLM,McDonnell Douglas DC-9,25,45,0
Air France/KLM,Martinair,McDonnell Douglas DC-9,4,45,0
Air France/KLM,KLM,McDonnell Douglas MD-11,10,175,0
Air France/KLM,Martinair,McDonnell Douglas MD-11,7,175,0
Air France/KLM,Martinair,McDonnell Douglas MD-80,3,45,0
Air France/KLM,KLM Cityhopper,Saab 340,1,8,0
Air India,Air India,Airbus A300,5,75,0
Air India,Air India,Airbus A310,28,75,0
Air India,Air India,Airbus A319,24,90,1971
Air India,Air India,Airbus A320,42,98,2548
Air India,Air India,Airbus A321,20,115,2298
Air India,Air India,Airbus A330,2,240,0
Air India,Air India Regional,ATR 42/72,15,22,265
Air India,Air India Express,Boeing 737,31,74,1702
Air India,Air India,Boeing 737,5,74,0
Air India,Air India Regional,Boeing 737,1,74,0
Air India,Air India,Boeing 747,31,316,947
Air India,Air India,Boeing 757,1,73,0
Air India,Air India,Boeing 767,3,187,0
Air India,Air India,Boeing 777,27,295,4418
Air India,Air India,Boeing 787 Dreamliner,27,265,5832
Air India,Air India Regional,Canadair CRJ-700,4,41,123
Air India,Air India,Lockheed L-1011 TriStar,1,190,0
Air India,Air India,McDonnell Douglas DC-8,15,6,0
Air New Zealand,Air New Zealand,Airbus A320,30,98,294
Air New Zealand,Air New Zealand,Airbus A321,2,115,0
Air New Zealand,Air New Zealand Link,ATR 42/72,34,22,575
Air New Zealand,Air New Zealand,Boeing 737,51,74,0
Air New Zealand,Air New Zealand,Boeing 747,15,316,0
Air New Zealand,Air New Zealand,Boeing 767,23,187,374
Air New Zealand,Air New Zealand,Boeing 777,15,295,4418
Air New Zealand,Air New Zealand,Boeing 787 Dreamliner,10,265,2386
Air New Zealand,Air New Zealand Link,Bombardier Q300,23,31,720
Air New Zealand,Air New Zealand Link,British Aerospace BAe 146/Avro RJ,8,14,0
Air New Zealand,Air New Zealand,McDonnell Douglas DC-10,8,145,0
Air New Zealand,Air New Zealand,McDonnell Douglas DC-8,8,6,0
Air Transat,Air Transat,Airbus A310,14,75,675
Air Transat,Air Transat,Airbus A320,2,98,0
Air Transat,Air Transat,Airbus A330,14,240,336
Air Transat,Air Transat,Boeing 727,1,4,0
Air Transat,Air Transat,Boeing 737,25,74,1332
Air Transat,Air Transat,Boeing 757,9,73,0
Air Transport International,Air Transport International,Boeing 757,8,73,580
Air Transport International,Air Transport International,Boeing 767,14,187,1682
Air Transport International,Air Transport International,McDonnell Douglas DC-8,42,6,0
Air Transport Services,ABX Air,Boeing 767,55,187,5233
Air Transport Services,ABX Air,McDonnell Douglas DC-8,16,6,0
Air Transport Services,ABX Air,McDonnell Douglas DC-9,74,45,0
Air Wisconsin,Air Wisconsin,British Aerospace BAe 146/Avro RJ,26,14,0
Air Wisconsin,Air Wisconsin,British Aerospace BAe ATP,10,14,0
Air Wisconsin,Air Wisconsin,Canadair CRJ-100 Series,71,32,2102
Air Wisconsin,Air Wisconsin,De Havilland Canada DHC-8 Dash 8,12,7,0
Air Wisconsin,Air Wisconsin,Dornier Do-328,23,8,0
AirAsia,AirAsia,Airbus A320,107,98,7546
AirAsia,AirAsia India,Airbus A320,8,98,784
AirAsia,AirAsia Japan,Airbus A320,7,98,196
AirAsia,Thai AirAsia,Airbus A320,52,98,49
AirAsia,Indonesia AirAsia,Airbus A320,34,98,1666
AirAsia,Indonesia AirAsia X,Airbus A320,5,98,490
AirAsia,Philippines AirAsia,Airbus A320,2,98,147
AirAsia,AirAsia,Airbus A321,2,115,0
AirAsia,AirAsia X,Airbus A330,30,240,528
AirAsia,Thai AirAsia X,Airbus A330,6,240,144
AirAsia,Indonesia AirAsia X,Airbus A330,2,240,480
AirAsia,AirAsia X,Airbus A340,2,216,0
AirAsia,AirAsia X,Airbus A350,2,312,0
AirAsia,AirAsia,Boeing 737,32,74,0
AirAsia,Thai AirAsia,Boeing 737,14,74,0
AirAsia,Indonesia AirAsia,Boeing 737,12,74,0
AirAsia,AirAsia,Boeing 747,3,316,0
AirAsia,AirAsia,McDonnell Douglas MD-11,1,175,0
Alaska Airlines,Alaska Airlines,Boeing 737,198,74,11615
Alaska Airlines,Alaska Airlines,Canadair CRJ-700,8,41,41
Alaska Airlines,Horizon Air,Canadair CRJ-700,21,41,0
Alaska Airlines,Horizon Air,De Havilland Canada DHC-8 Dash 8,108,31,1628
Alaska Airlines,Horizon Air,Dornier Do-328,12,8,0
Alaska Airlines,Horizon Air,Embraer E175,2,39,0
Alaska Airlines,Alaska Airlines,Embraer ERJ-170,15,39,581
Alaska Airlines,Alaska Airlines,McDonnell Douglas MD-80,48,45,532
Alitalia,Alitalia,Airbus A300,14,75,0
Alitalia,Alitalia,Airbus A319,22,90,1971
Alitalia,Alitalia,Airbus A320,54,98,4312
Alitalia,Alitalia,Airbus A321,23,115,1379
Alitalia,Alitalia,Airbus A330,14,240,336
Alitalia,Alitalia,ATR 42/72,14,22,0
Alitalia,Alitalia,Boeing 737,2,74,0
Alitalia,Alitalia,Boeing 747,21,316,0
Alitalia,Alitalia,Boeing 767,14,187,0
Alitalia,Alitalia,Boeing 777,11,295,324
Alitalia,Alitalia Cityliner,Canadair CRJ-900,10,46,0
Alitalia,Alitalia Cityliner,Embraer ERJ-170,15,39,581
Alitalia,Alitalia Cityliner,Embraer ERJ-190,5,46,231
Alitalia,Alitalia,McDonnell Douglas DC-10,8,145,0
Alitalia,Alitalia,McDonnell Douglas DC-8,27,6,0
Alitalia,Alitalia,McDonnell Douglas DC-9,46,45,0
Alitalia,Alitalia,McDonnell Douglas MD-11,8,175,0
Alitalia,Alitalia,McDonnell Douglas MD-80,90,45,0
All Nippon Airways,Vanilla Air,Airbus A320,15,98,980
All Nippon Airways,ANA Wings,Boeing 737,25,74,1332
All Nippon Airways,ANA Wings,De Havilland Canada DHC-8 Dash 8,26,31,657
All Nippon Airways,ANA Wings,Mitsubishi MRJ90,,47,0
All Nippon Airways,All Nippon Airways,Airbus A320,36,98,980
All Nippon Airways,All Nippon Airways,Airbus A321,11,115,230
All Nippon Airways,All Nippon Airways,Airbus A380,,433,0
All Nippon Airways,All Nippon Airways,Boeing 737,87,74,3181
All Nippon Airways,All Nippon Airways,Boeing 747,46,316,0
All Nippon Airways,All Nippon Airways,Boeing 767,99,187,9158
All Nippon Airways,All Nippon Airways,Boeing 777,57,295,162
All Nippon Airways,All Nippon Airways,Boeing 787 Dreamliner,59,265,14846
All Nippon Airways,All Nippon Airways,Mitsubishi MRJ90,2,47,0
Allegiant Air,Allegiant Air,Airbus A319,23,90,1523
Allegiant Air,Allegiant Air,Airbus A320,16,98,1568
Allegiant Air,Allegiant Air,Boeing 757,6,73,290
Allegiant Air,Allegiant Air,McDonnell Douglas DC-9,3,45,0
Allegiant Air,Allegiant Air,McDonnell Douglas MD-80,61,45,216
American Airlines,American Airlines,Airbus A300,35,75,0
American Airlines,American Airlines,Airbus A319,125,90,112
American Airlines,American Airlines,Airbus A320,68,98,4998
American Airlines,American Airlines,Airbus A321,209,115,22635
American Airlines,American Airlines,Airbus A330,24,240,576
American Airlines,American Airlines,Airbus A350 XWB,1,312,0
American Airlines,American Eagle,ATR 42/72,70,22,0
American Airlines,American Airlines,Boeing 717,29,37,0
American Airlines,American Airlines,Boeing 737,332,74,20862
American Airlines,American Airlines,Boeing 747,19,316,0
American Airlines,American Airlines,Boeing 757,177,73,3698
American Airlines,American Airlines,Boeing 767,107,187,6168
American Airlines,American Airlines,Boeing 777,67,295,19735
American Airlines,American Airlines,Boeing 787 Dreamliner,26,265,5302
American Airlines,American Airlines,British Aerospace BAe 146/Avro RJ,8,14,0
American Airlines,PSA Airlines,Canadair CRJ-100 Series,35,32,1115
American Airlines,PSA Airlines,Canadair CRJ-700,61,41,1066
American Airlines,American Eagle,Canadair CRJ-700,57,41,1845
American Airlines,PSA Airlines,Canadair CRJ-900,54,46,2484
American Airlines,American Eagle,Canadair CRJ-900,61,46,2806
American Airlines,Piedmont Airlines,De Havilland Canada DHC-8 Dash 8,109,31,1064
American Airlines,PSA Airlines,Dornier Do-328,28,8,0
American Airlines,American Eagle,Embraer ERJ-145,217,20,1901
American Airlines,Piedmont Airlines,Embraer ERJ-145,10,20,196
American Airlines,American Eagle,Embraer ERJ-170,96,39,3638
American Airlines,Envoy Air,Embraer ERJ-170,28,39,1006
American Airlines,American Airlines,Embraer ERJ-190,20,46,924
American Airlines,American Airlines,Fokker F70 / F100,75,20,0
American Airlines,American Airlines,McDonnell Douglas DC-10,66,145,0
American Airlines,American Airlines,McDonnell Douglas DC-8,6,6,0
American Airlines,American Airlines,McDonnell Douglas MD-11,19,175,0
American Airlines,American Airlines,McDonnell Douglas MD-80,383,45,261
American Airlines,American Airlines,McDonnell Douglas MD-90,5,45,0
American Airlines,American Eagle,Saab 340,52,8,0
Asiana Airlines,Asiana Airlines,Airbus A320,11,98,686
Asiana Airlines,Air Busan,Airbus A320,6,98,588
Asiana Airlines,Asiana Airlines,Airbus A321,40,115,2643
Asiana Airlines,Air Seoul,Airbus A321,3,115,345
Asiana Airlines,Air Busan,Airbus A321,12,115,1379
Asiana Airlines,Asiana Airlines,Airbus A330,15,240,36
Asiana Airlines,Asiana Airlines,Airbus A350,1,312,0
Asiana Airlines,Asiana Airlines,Airbus A380,6,433,2163
Asiana Airlines,Asiana Airlines,Boeing 737,34,74,0
Asiana Airlines,Air Busan,Boeing 737,7,74,0
Asiana Airlines,Asiana Airlines,Boeing 747,18,316,4421
